ERROR_CODE,ERROR_DESCRIPTION
API_001,MISSING_USERNAME
API_002,MISSING_PASSWORD
API_003,MISSING_USER_ID
API_004,UNABLE_TO_HASH_PASSWORD
API_005,INVALID_USERNAME_OR_PASSWORD
API_006,USER_IS_NOT_FOUND
API_007,CST_IS_NOT_FOUND
API_008,INVALID_Date
API_009,YOU_EXCEED_NUMBER_OF_RETRIALS
API_010,CUSTOMER_IS_BLOCKED
API_011,INVALID_OTP_IS_USED_BEFORE
API_012,INVALID_PIN_AUTHENTICATION
API_013,INVALID_OTP_AUTHENTICATION
API_014,INVALID_PASSWORD_AUTHENTICATION
API_015,INVALID_OTP_IS_NOT_FOUND
API_016,DELETED_USER
API_017,INVALID_ACCOUNTNUMBER
API_018,INVALID_MOBILE_NUMBER
API_019,INVALID_VERIFICATION_TOKEN
DB_001,OBJECT_NOT_FOUND
DB_002,Amount of expense not equal to amount of transaction
